Date,Event
14/2/2022,Masuk Kuliah Perdana Semester Genap
14/2/2022,Hari Kasih Sayang Sedunia
15/2/2022,Hari Kanker Anak-anak Internasional
28/2/2022,Isra Mi'raj Nabi Muhammad
28/2/2022,Hari Hari Gizi Nasional
3/3/2022,Hari Raya Nyepi (Tahun Baru Saka 1944)
8/3/2022,Hari Hak-Hak Wanita Internasional
21/3/2022,Hari Hutan Internasional
22/3/2022,Hari Air Internasional
24/3/2022,Hari Tuberkulosis Internasional
28/3/2022,UTS Semester Genap
29/3/2022,Pengumuman Maba SNMPTN
30/3/2022,Dies Natalis UNNES Ke-57
2/4/2022,Hari Buku Anak Internasional
2/4/2022,Hari Pertama Puasa (1 Ramadhan 1443H)
7/4/2022,Hari Kesehatan Internasional
15/4/2022,Wafat Isa Almasih
17/4/2022,Hari Paskah
21/4/2022,Hari Kartini
22/4/2022,Hari Bumi Internasional
1/5/2022,Hari Buruh Internasional
2/5/2022,Hari Raya Idul Fitri 1443 H
16/5/2022,Hari Raya Waisak 2566
20/5/2022,Hari Kebangkitan Nasional
26/5/2022,Kenaikan Isa Al Masih
31/5/2022,Hari Tanpa Tembakau Internasional
1/6/2022,Hari Lahir Pancasila
5/6/2022,Hari Lingkungan Hidup Internasional
6/6/2022,Ujian Akhir Semester Genap
8/6/2022,Hari Laut Internasional
14/6/2022,Hari Donor Darah Internasional
21/6/2022,Hari Musik Internasional
23/6/2022,Pengumuman Maba SBMPTN
26/6/2022,Hari Anti-Narkoba Internasional
5/7/2022,Hari Bank Indonesia
9/7/2022,Hari Raya Idul Adha 1443 H
17/7/2022,Hari Keadilan Internasional
23/7/2022,Hari Anak Nasional
30/7/2022,Tahun Baru Islam 1443 H
14/8/2022,Hari Pramuka
15/8/2022,HUT Jawa Tengah Ke-72 Tahun
17/8/2022,Hari Kemerdekaan RI (HUT RI Ke-77)
3/9/2022,Hari Palang Merah Internasional
9/9/2022,Hari Olahraga Nasional
8/9/2022,Hari Literasi Internasional
15/9/2022,Hari Demokrasi Internasional
21/9/2022,Hari Perdamaian Internasional
29/9/2022,Hari Jantung Internasional
30/9/2022,Hari G30S/PKI
1/10/2022,Hari Kesaktian Pancasila
2/10/2022,Hari Batik Nasional
5/10/2022,Hari Guru Internasional
8/10/2022,Maulid Nabi Muhammad SAW
10/10/2022,Hari Kesehatan Mental Internasional
24/10/2022,Hari Perserikatan Bangsa-Bangsa
28/10/2022,Hari Sumpah Pemuda
24/10/2022,Hari Perserikatan Bangsa-Bangsa
10/11/2022,Hari Pahlawan
12/11/2022,Hari Ayah
12/11/2022,Hari Pneumonia Internasional
16/11/2022,Hari Toleransi Internasional
20/11/2022,Hari Anak Internasional
25/11/2022,Hari Guru Nasional
25/11/2022,Hari Anti-Kekerasan Terhadap Wanita Internasional
1/12/2022,Hari AIDS Internasional
3/12/2022,Hari Penyandang Disabilitas Internasional
9/12/2022,Hari Anti-Korupsi Internasional
11/12/2022,Hari HAM Internasional
22/12/2022,Hari Ibu Nasional
25/12/2022,Hari Raya Natal
1/1/2023,Tahun Baru 2022
10/1/2023,Hari Gerakan Satu Juta Pohon Internasional
